firstnames,Lastnames,DOB,annee_bacc
1. Liam,A2,5/10/1980,3/25/1980
2. Noah,A3,6/1/1950,3/25/1980
3. Oliver,A4,6/1/1950,3/25/1980
4. Elijah,A5,6/1/1950,3/25/1980
5. James,A6,6/1/1950,3/25/1980
6. William,A7,6/1/1950,3/25/1980
7. Benjamin,A8,6/1/1950,3/25/1980
8. Lucas,A9,6/1/1950,3/25/1980
9. Henry,A10,6/1/1950,3/25/1980
10. Theodore,A11,6/1/1950,3/25/1980
11. Jack,A12,6/1/1950,3/25/1980
12. Levi,A13,6/1/1950,3/25/1980
13. Alexander,A14,6/1/1950,3/25/1980
14. Jackson,A15,6/1/1950,3/25/1980
15. Mateo,A16,6/1/1950,3/25/1980
16. Daniel,A17,6/1/1950,3/25/1980
17. Michael,A18,6/1/1950,3/25/1980
18. Mason,A19,6/1/1950,3/25/1980
19. Sebastian,A20,6/1/1950,3/25/1980
20. Ethan,A21,6/1/1950,3/25/1980
21. Logan,A22,6/1/1950,3/25/1980
22. Owen,A23,6/1/1950,3/25/1980
23. Samuel,A24,6/1/1950,3/25/1980
24. Jacob,A25,6/1/1950,3/25/1980
25. Asher,A26,6/1/1950,3/25/1980
26. Aiden,A27,6/1/1950,3/25/1980
27. John,A28,6/1/1950,3/25/1980
28. Joseph,A29,6/1/1950,3/25/1980
29. Wyatt,A30,6/1/1950,3/25/1980
30. David,A31,6/1/1950,3/25/1980
31. Leo,A32,6/1/1950,3/25/1980
32. Luke,A33,6/1/1950,3/25/1980
33. Julian,A34,6/1/1950,3/25/1980
34. Hudson,A35,6/1/1950,3/25/1980
35. Grayson,A36,6/1/1950,3/25/1980
36. Matthew,A37,6/1/1950,3/25/1980
37. Ezra,A38,6/1/1950,3/25/1980
38. Gabriel,A39,6/1/1950,3/25/1980
39. Carter,A40,6/1/1950,3/25/1980
40. Isaac,A41,6/1/1950,3/25/1980
41. Jayden,A42,6/1/1950,3/25/1980
42. Luca,A43,6/1/1950,3/25/1980
43. Anthony,A44,6/1/1950,3/25/1980
44. Dylan,A45,6/1/1950,3/25/1980
